location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,1,0,0,0,0,0,0,10,21,0
강남구,1,0,0,0,0,0,0,10,22,0
강남구,1,0,0,0,0,0,0,10,23,0
강남구,0,1,0,0,0,0,0,11,0,0
강남구,0,1,0,0,0,0,0,11,1,0
강남구,0,1,0,0,0,0,0,11,2,0
강남구,0,1,0,0,0,0,0,11,3,0
강남구,0,1,0,0,0,0,0,11,4,0
강남구,0,1,0,0,0,0,0,11,5,0
강남구,0,1,0,0,0,0,0,11,6,0
강남구,0,1,0,0,0,0,0,11,7,0
강남구,0,1,0,0,0,0,0,11,8,0
강남구,0,1,0,0,0,0,0,11,9,0
강남구,0,1,0,0,0,0,0,11,10,0
강남구,0,1,0,0,0,0,0,11,11,0
강남구,0,1,0,0,0,0,0,11,12,0
강남구,0,1,0,0,0,0,0,11,13,0
강남구,0,1,0,0,0,0,0,11,14,0
강남구,0,1,0,0,0,0,0,11,15,0
강남구,0,1,0,0,0,0,0,11,16,0
강남구,0,1,0,0,0,0,0,11,17,0
강남구,0,1,0,0,0,0,0,11,18,0
강남구,0,1,0,0,0,0,0,11,19,0
강남구,0,1,0,0,0,0,0,11,20,0
강남구,0,1,0,0,0,0,0,11,21,0
강남구,0,1,0,0,0,0,0,11,22,0
강남구,0,1,0,0,0,0,0,11,23,0
강남구,0,0,1,0,0,0,0,12,0,0
강남구,0,0,1,0,0,0,0,12,1,0
강남구,0,0,1,0,0,0,0,12,2,0
강남구,0,0,1,0,0,0,0,12,3,0
강남구,0,0,1,0,0,0,0,12,4,0
강남구,0,0,1,0,0,0,0,12,5,0
강남구,0,0,1,0,0,0,0,12,6,0
강남구,0,0,1,0,0,0,0,12,7,0
강남구,0,0,1,0,0,0,0,12,8,0
강남구,0,0,1,0,0,0,0,12,9,0
강남구,0,0,1,0,0,0,0,12,10,0
강남구,0,0,1,0,0,0,0,12,11,0
강남구,0,0,1,0,0,0,0,12,12,0
강남구,0,0,1,0,0,0,0,12,13,0
강남구,0,0,1,0,0,0,0,12,14,0
강남구,0,0,1,0,0,0,0,12,15,0
강남구,0,0,1,0,0,0,0,12,16,0
강남구,0,0,1,0,0,0,0,12,17,0
강남구,0,0,1,0,0,0,0,12,18,0
강남구,0,0,1,0,0,0,0,12,19,0
강남구,0,0,1,0,0,0,0,12,20,0
강남구,0,0,1,0,0,0,0,12,21,0
강남구,0,0,1,0,0,0,0,12,22,0
강남구,0,0,1,0,0,0,0,12,23,0
강남구,0,0,0,1,0,0,0,13,0,0
강남구,0,0,0,1,0,0,0,13,1,0
강남구,0,0,0,1,0,0,0,13,2,0
강남구,0,0,0,1,0,0,0,13,3,0
강남구,0,0,0,1,0,0,0,13,4,0
강남구,0,0,0,1,0,0,0,13,5,0
강남구,0,0,0,1,0,0,0,13,6,0
강남구,0,0,0,1,0,0,0,13,7,0
강남구,0,0,0,1,0,0,0,13,8,0
강남구,0,0,0,1,0,0,0,13,9,0
강남구,0,0,0,1,0,0,0,13,10,0
