date,time,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
5,2,0,0,0,0,2,0,0,0,0,8,0,2,0,0,0,0,0,2,0,0,0,0,0,5,0
5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4
5,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2
5,7,2,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,3,0,0,0,0,0,4
5,8,0,3,0,10,2,0,3,0,0,4,3,2,0,0,0,0,0,0,0,2,3,0,0,0,2
5,9,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
5,10,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,0,0,4,0,0
5,11,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3
5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0
5,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,5,0,0,0,0
5,15,0,0,0,5,0,0,0,0,2,0,0,0,0,4,5,0,2,0,0,0,0,3,0,0,0
5,16,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
5,17,4,3,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
5,18,10,0,0,0,2,0,5,0,0,0,0,0,0,0,6,2,0,0,0,0,4,0,0,2,0
5,19,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,2,0,2,0,0,0
5,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,1,3,0,12,0,0,0,0,0
5,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,2,6,2,0,0,0,0,0
5,22,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0,0,0,2,0,2,0,0,0,0,0
5,23,0,0,0,0,2,0,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
6,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
